acc x,acc y,acc z,gyro x,gyro y,gyro z,temp,humidity,timestamp
0.684,-1.771,0.240,24.109,-110.596,-273.010,23,57,6847
0.755,-1.820,0.331,28.442,-98.267,-281.677,23,57,6862
0.698,-1.995,0.337,31.250,-39.429,-284.607,23,57,6877
0.694,-1.875,0.261,30.579,-6.775,-277.710,23,57,6892
0.445,-1.725,0.052,29.602,-3.723,-267.334,23,57,6907
0.488,-1.685,-0.036,23.804,-32.166,-220.520,23,57,6922
0.676,-1.546,-0.129,19.653,-85.999,-165.894,23,57,6937
0.904,-1.343,0.022,23.315,-117.432,-108.337,23,57,6952
1.011,-1.258,0.112,41.016,-113.220,-75.928,23,57,6967
1.108,-0.921,0.200,39.734,-96.252,-5.798,23,57,6982
1.126,-0.787,0.390,19.592,-64.087,57.678,23,57,6998
1.150,-0.849,0.566,10.132,-38.147,82.886,23,57,7012
1.106,-0.893,0.637,-7.935,28.870,118.042,23,57,7027
0.761,-0.977,0.717,-20.813,112.183,126.648,23,57,7043
-3.146,-1.625,-0.592,0.549,178.772,74.219,23,57,7057
-2.112,-1.437,-0.976,88.074,106.934,11.108,23,57,7072
0.443,0.014,1.784,-61.890,36.621,66.284,23,57,7087
-0.922,-2.080,1.153,-16.174,127.197,61.890,23,57,7102
-0.272,-1.957,1.118,26.428,53.711,79.956,23,57,7117
0.079,-1.421,0.893,12.207,124.084,85.938,23,57,7132
0.630,-1.355,-0.224,44.006,235.596,71.106,23,57,7147
0.255,-1.056,-0.484,39.124,234.985,70.679,23,57,7162
-0.202,-0.983,-0.357,13.184,118.774,75.378,23,57,7177
0.091,-0.923,-0.275,2.991,21.729,83.862,23,57,7192
-0.036,-1.038,0.036,6.653,-89.844,94.910,23,57,7207
0.089,-1.001,0.244,-18.982,-92.896,93.933,23,57,7222
0.296,-1.089,0.374,-14.221,-44.128,75.317,23,57,7237
0.331,-1.104,0.289,8.301,16.602,48.035,23,57,7252
0.272,-1.010,0.144,17.029,47.363,35.034,23,57,7267
0.178,-1.002,0.099,20.386,83.801,18.799,23,57,7282
0.014,-1.014,-0.066,11.719,61.707,16.724,23,57,7297
-0.064,-1.018,-0.163,5.920,30.640,22.217,23,57,7312
-0.047,-1.022,-0.100,-2.441,-27.100,30.457,23,57,7327
0.039,-1.036,0.076,-5.676,-41.687,31.677,23,57,7342
0.144,-1.011,0.140,-3.052,-22.034,24.414,23,57,7357
0.198,-1.000,0.209,-0.366,-8.118,19.165,23,57,7372
0.116,-1.015,0.207,8.667,14.587,11.230,23,57,7388
0.021,-1.021,0.077,11.963,16.052,10.986,23,57,7402
0.015,-0.998,-0.044,10.864,8.240,12.756,23,57,7417
0.005,-0.997,-0.045,5.432,-10.986,17.822,23,57,7432
0.010,-1.011,0.024,2.563,-24.048,22.095,23,57,7447
0.073,-1.023,0.081,2.319,-14.526,21.545,23,57,7462
0.116,-1.013,0.098,3.906,-6.714,20.447,23,57,7477
0.061,-1.021,0.114,6.042,5.615,18.555,23,57,7492
0.084,-1.019,0.056,7.263,7.324,18.311,23,57,7507
0.051,-1.023,0.040,6.592,3.418,19.775,23,57,7522
0.050,-1.008,0.060,7.019,0.610,20.996,23,57,7537
0.050,-1.012,0.050,7.935,2.258,22.583,23,57,7552
0.033,-1.021,-0.040,7.812,4.578,23.499,23,57,7567
-0.006,-1.015,-0.094,5.249,6.104,28.137,23,57,7582
-0.092,-1.004,-0.109,2.075,0.183,37.781,23,57,7597
-0.103,-1.023,-0.028,0.183,-2.869,60.059,23,57,7612
-0.097,-1.023,0.009,-0.793,-2.319,57.556,23,57,7627
-0.035,-0.996,0.048,0.549,10.254,69.031,23,57,7642
-0.013,-1.040,-0.021,0.732,20.752,90.149,23,57,7657
-0.007,-1.055,-0.058,0.366,30.884,84.778,23,57,7672
0.057,-1.088,-0.045,-1.282,30.518,94.604,23,57,7687
0.148,-1.139,-0.032,-2.991,23.438,102.478,23,57,7702
0.171,-1.267,0.022,-5.066,21.118,106.079,23,57,7717
0.147,-1.339,0.100,-15.320,18.005,113.647,23,57,7733
0.060,-1.462,-0.046,-10.620,12.817,121.521,23,57,7747
0.081,-1.563,0.433,-0.305,6.836,129.028,23,57,7762
0.140,-1.677,0.543,-1.038,8.728,145.020,23,57,7777
-0.085,-1.916,0.553,-7.263,7.874,165.222,23,57,7792
-0.711,-2.417,0.438,-9.521,0.793,177.124,23,57,7807
-0.605,-2.368,0.416,16.174,-24.963,191.895,23,57,7822
-0.796,-2.158,0.592,22.766,-84.167,197.998,23,57,7837
-0.346,-1.647,0.200,24.841,-119.019,195.557,23,57,7852
0.381,-1.432,0.111,17.151,-134.338,200.562,23,57,7867
1.029,-1.387,-0.101,-3.174,-66.406,173.706,23,57,7882
0.472,-1.121,-0.016,8.484,-34.302,131.836,23,57,7897
0.291,-0.856,-0.070,10.071,-36.316,114.502,23,57,7912
-0.233,-0.544,0.081,26.001,-12.878,46.387,23,57,7927
-0.306,-0.485,-0.055,51.208,-25.696,-9.155,23,57,7943
-0.178,-0.364,-0.067,46.204,-30.029,-22.644,23,57,7957
-0.003,-0.280,-0.084,31.982,-28.320,-53.101,23,57,7972
0.066,-0.247,-0.023,28.503,-20.142,-89.478,23,57,7987
0.041,-0.229,0.063,29.724,-15.015,-108.459,23,57,8002
0.028,-0.240,0.083,28.870,-4.700,-142.761,23,57,8017
0.004,-0.265,0.074,24.780,-1.892,-174.194,23,57,8032
0.021,-0.301,0.040,22.949,-4.517,-202.759,23,57,8047
0.028,-0.329,0.042,17.822,-13.977,-215.820,23,57,8062
0.024,-0.434,0.053,7.996,-28.870,-237.122,23,57,8077
-0.052,-0.659,0.112,1.465,-56.091,-246.643,23,57,8092
-0.047,-0.717,0.165,4.028,-71.716,-254.517,23,57,8107
0.020,-0.903,0.124,9.949,-81.421,-268.616,23,57,8122
0.218,-1.241,0.229,9.766,-92.590,-272.461,23,57,8137
0.675,-1.550,0.336,20.386,-102.905,-282.288,23,57,8152
0.716,-1.569,0.425,19.653,-75.073,-301.025,23,57,8167
0.772,-1.839,0.500,20.569,-17.578,-310.059,23,57,8182
0.740,-1.806,0.467,19.958,6.470,-312.805,23,57,8197
0.714,-1.806,0.340,15.442,48.157,-306.335,23,57,8212
0.623,-1.870,0.133,1.038,38.086,-261.963,23,57,8227
0.711,-1.609,-0.010,-0.854,-10.742,-200.134,23,57,8242
0.901,-1.478,-0.077,6.592,-28.687,-169.800,23,57,8257
1.163,-1.373,-0.110,35.767,-55.237,-94.849,23,57,8272
1.359,-0.916,-0.024,31.616,-79.590,-0.549,23,57,8288
1.396,-0.806,0.210,18.494,-76.355,40.710,23,57,8302
1.437,-0.823,0.384,-0.549,-25.391,100.647,23,57,8317
-0.295,-1.351,0.473,-5.188,91.064,99.487,23,57,8332
-2.165,-1.518,-0.833,27.771,129.517,56.030,23,57,8347
