acc x,acc y,acc z,gyro x,gyro y,gyro z,temp,humidity,timestamp
0.041,-0.059,0.990,1.648,0.122,0.488,30,18,25756
0.039,-0.058,0.992,1.343,0.244,0.244,30,18,25771
0.039,-0.057,0.991,1.160,0.183,0.427,30,18,25786
0.041,-0.053,0.995,1.343,0.305,0.549,30,18,25801
0.041,-0.050,0.993,0.854,0.244,0.427,30,18,25816
0.043,-0.052,0.991,1.221,0.427,0.671,30,18,25831
0.041,-0.053,0.993,1.038,0.366,0.305,30,18,25876
0.040,-0.053,0.993,1.221,0.305,0.488,30,18,25891
0.040,-0.055,0.991,1.343,0.427,0.427,30,18,25906
0.039,-0.058,0.993,1.160,0.366,0.366,30,18,25921
0.039,-0.052,0.991,1.099,0.183,0.671,30,18,25966
0.040,-0.054,0.992,1.465,0.183,0.549,30,18,25981
0.041,-0.056,0.991,1.465,0.305,0.549,30,18,25996
0.044,-0.057,0.993,1.404,0.305,0.610,30,18,26011
0.043,-0.057,0.993,1.282,0.366,0.427,30,18,26026
0.042,-0.055,0.992,1.282,0.183,0.671,30,18,26041
0.041,-0.053,0.992,1.282,0.305,0.549,30,18,26056
0.041,-0.052,0.993,1.282,-0.061,0.549,30,18,26071
0.040,-0.051,0.991,1.038,0.183,0.305,30,18,26086
0.038,-0.049,0.994,1.160,0.122,0.488,30,18,26101
0.038,-0.049,0.992,1.221,0.305,0.610,30,18,26116
0.040,-0.050,0.990,1.343,0.183,0.610,30,18,26131
0.040,-0.055,0.994,1.465,0.244,0.610,30,18,26146
0.041,-0.055,0.995,1.587,0.183,0.732,30,18,26161
0.040,-0.056,0.993,1.282,0.244,0.610,30,18,26176
0.042,-0.056,0.993,1.221,0.183,0.427,30,18,26191
0.042,-0.061,0.994,1.465,0.183,0.549,30,18,26221
0.042,-0.059,0.988,1.282,0.366,0.549,30,18,26236
0.042,-0.055,0.994,1.221,0.122,0.488,30,18,26251
0.041,-0.052,0.990,1.099,0.244,0.671,30,18,26266
0.038,-0.050,0.992,1.282,0.061,0.549,30,18,26281
0.038,-0.050,0.992,0.977,0.122,0.183,30,18,26296
0.039,-0.047,0.991,1.282,0.061,0.671,30,18,26311
0.038,-0.048,0.994,1.282,0.244,0.610,30,18,26326
0.039,-0.047,0.993,1.099,0.244,0.549,30,18,26341
0.040,-0.053,0.993,1.404,0.366,0.671,30,18,26356
0.040,-0.053,0.992,1.343,0.183,0.671,30,18,26371
0.042,-0.057,0.992,1.343,0.244,0.305,30,18,26386
0.042,-0.057,0.990,1.221,0.244,0.610,30,18,26401
0.042,-0.056,0.992,1.465,0.244,0.488,30,18,26416
0.041,-0.060,0.991,1.343,0.244,0.488,30,18,26431
0.041,-0.059,0.991,0.793,0.427,-0.061,30,18,26446
0.040,-0.060,0.994,0.671,0.366,0.183,30,18,26461
0.040,-0.054,0.992,0.977,0.305,0.488,30,18,26476
0.039,-0.054,0.992,1.404,0.183,0.610,30,18,26491
0.040,-0.052,0.991,1.221,0.183,0.732,30,18,26506
0.039,-0.052,0.993,1.404,0.061,0.610,30,18,26521
0.040,-0.050,0.994,1.282,0.122,0.610,30,18,26536
0.040,-0.052,0.988,1.038,0.244,0.488,30,18,26551
0.039,-0.051,0.995,1.221,0.061,0.732,30,18,26566
0.043,-0.052,0.990,1.587,0.061,0.671,30,18,26581
0.040,-0.055,0.994,1.404,0.061,0.671,30,18,26596
0.039,-0.058,0.996,1.343,0.122,0.671,30,18,26611
0.039,-0.055,0.989,1.160,0.244,0.671,30,18,26626
0.039,-0.056,0.994,1.465,0.183,0.610,30,18,26641
0.037,-0.052,0.990,0.732,0.061,0.366,30,18,26656
0.039,-0.052,0.992,1.343,0.122,0.610,30,18,26671
0.041,-0.047,0.993,1.038,0.061,0.732,30,18,26686
0.042,-0.050,0.993,1.038,0.244,0.549,30,18,26701
0.042,-0.049,0.992,1.282,0.061,0.305,30,18,26716
0.043,-0.049,0.992,1.221,0.183,0.427,30,18,26731
0.039,-0.059,0.989,1.282,0.183,0.488,30,18,26806
0.039,-0.045,0.987,1.221,0.244,0.610,30,18,26896
0.039,-0.053,0.997,1.343,0.244,0.549,30,18,26956
0.041,-0.061,0.987,1.465,0.366,0.610,30,18,27001
0.042,-0.061,0.994,0.671,0.244,0.549,30,18,27016
0.043,-0.054,0.990,1.526,0.244,0.549,30,18,27031
0.042,-0.056,0.993,1.099,0.183,0.732,30,18,27046
0.040,-0.050,0.991,0.916,0.305,0.366,30,18,27061
0.040,-0.048,0.991,1.038,0.244,0.427,30,18,27076
0.041,-0.047,0.992,1.221,0.122,0.671,30,18,27091
0.040,-0.049,0.993,1.404,0.183,0.549,30,18,27106
0.040,-0.057,0.990,1.465,0.244,0.610,30,18,27136
0.040,-0.058,0.990,1.343,0.305,0.732,30,18,27151
0.041,-0.057,0.991,1.282,0.366,0.610,30,18,27166
0.041,-0.060,0.990,1.221,0.122,0.366,30,18,27181
0.042,-0.058,0.992,1.343,0.122,0.549,30,18,27196
0.041,-0.057,0.993,1.221,0.122,0.549,30,18,27211
0.042,-0.053,0.993,1.099,0.244,0.488,30,18,27226
0.039,-0.050,0.991,1.221,0.183,0.366,30,18,27271
0.039,-0.049,0.990,0.916,0.183,0.366,30,18,27286
0.037,-0.051,0.990,1.404,0.244,0.488,30,18,27301
0.039,-0.052,0.993,1.343,0.183,0.427,30,18,27316
0.039,-0.054,0.993,1.343,0.244,0.549,30,18,27331
0.042,-0.058,0.992,1.282,0.305,0.366,30,18,27346
0.041,-0.058,0.994,1.282,0.000,0.610,30,18,27361
0.043,-0.057,0.993,1.038,0.183,0.366,30,18,27376
0.042,-0.058,0.990,1.160,0.061,0.488,30,18,27391
0.041,-0.055,0.994,1.282,0.244,0.671,30,18,27407
0.041,-0.053,0.992,1.282,0.122,0.610,30,18,27421
0.039,-0.051,0.994,0.916,0.183,0.488,30,18,27436
0.038,-0.050,0.992,1.038,0.183,0.610,30,18,27451
0.040,-0.051,0.992,1.038,0.244,0.610,30,18,27466
0.040,-0.052,0.991,1.160,0.244,0.610,30,18,27481
0.040,-0.054,0.992,1.160,0.366,0.488,30,18,27496
0.041,-0.055,0.993,1.160,0.305,0.366,30,18,27511
0.041,-0.057,0.993,1.221,0.183,0.427,30,18,27526
0.040,-0.055,0.990,1.465,0.244,0.549,30,18,27542
0.041,-0.057,0.992,1.282,0.305,0.488,30,18,27556
0.040,-0.056,0.991,1.099,0.061,0.305,30,18,27571
0.039,-0.055,0.993,1.221,0.183,0.427,30,18,27587
0.040,-0.055,0.995,1.038,0.183,0.610,30,18,27601
0.038,-0.053,0.992,1.038,0.305,0.610,30,18,27616
0.038,-0.052,0.990,0.854,0.122,0.183,30,18,27631
0.039,-0.051,0.992,1.221,0.244,0.610,30,18,27646
0.039,-0.052,0.990,1.221,0.183,0.732,30,18,27661
0.039,-0.051,0.995,1.282,0.122,0.488,30,18,27677
0.039,-0.053,0.992,1.282,0.183,0.488,30,18,27691
0.041,-0.054,0.993,1.221,0.000,0.610,30,18,27721
0.042,-0.057,0.992,1.160,0.427,0.366,30,18,27736
0.040,-0.054,0.990,1.038,0.122,0.366,30,18,27767
0.042,-0.057,0.991,1.221,0.122,0.488,30,18,27781
0.039,-0.055,0.995,1.038,0.183,0.366,30,18,27796
0.039,-0.055,0.992,1.038,0.183,0.549,30,18,27812
0.040,-0.054,0.991,1.282,0.305,0.610,30,18,27826
0.041,-0.052,0.989,1.343,0.061,0.549,30,18,27841
0.039,-0.052,0.991,1.038,0.183,0.427,30,18,27857
0.039,-0.052,0.993,1.160,0.122,0.549,30,18,27871
0.040,-0.052,0.991,1.343,0.183,0.610,30,18,27886
0.041,-0.054,0.991,1.038,0.305,0.305,30,18,27901
0.042,-0.055,0.993,1.221,0.366,0.549,30,18,27916
0.042,-0.055,0.991,1.343,0.183,0.549,30,18,27931
0.042,-0.055,0.992,1.099,0.183,0.427,30,18,27947
0.041,-0.055,0.992,1.160,0.183,0.549,30,18,27961
0.041,-0.054,0.992,1.282,0.122,0.549,30,18,27976
0.039,-0.055,0.991,1.221,0.000,0.427,30,18,27992
0.040,-0.053,0.993,1.282,0.183,0.793,30,18,28006
0.038,-0.053,0.992,1.221,0.244,0.549,30,18,28021
0.039,-0.052,0.993,1.343,0.244,0.610,30,18,28037
0.041,-0.053,0.993,0.977,0.183,0.427,30,18,28051
0.041,-0.053,0.993,1.282,0.366,0.671,30,18,28066
0.042,-0.053,0.993,1.282,0.183,0.488,30,18,28082
0.042,-0.053,0.992,1.404,0.183,0.610,30,18,28096
0.041,-0.056,0.991,1.221,0.305,0.610,30,18,28111
0.040,-0.055,0.992,1.282,0.244,0.549,30,18,28127
0.041,-0.055,0.991,1.282,0.305,0.732,30,18,28141
0.040,-0.055,0.993,1.160,0.427,0.610,30,18,28156
0.040,-0.055,0.994,1.404,0.061,0.549,30,18,28172
0.041,-0.053,0.993,1.343,0.061,0.488,30,18,28186
0.040,-0.052,0.992,1.038,0.244,0.244,30,18,28201
0.041,-0.053,0.992,1.221,0.244,0.610,30,18,28217
0.040,-0.051,0.993,1.221,0.244,0.549,30,18,28231
0.042,-0.055,0.997,1.038,0.183,0.244,30,18,28246
0.040,-0.052,0.989,1.404,0.244,0.610,30,18,28262
0.038,-0.054,0.991,1.160,0.305,0.549,30,18,28276
0.041,-0.056,0.994,1.221,0.244,0.488,30,18,28291
0.042,-0.054,0.992,1.099,0.244,0.488,30,18,28307
0.042,-0.056,0.994,1.343,0.244,0.549,30,18,28321
0.042,-0.053,0.992,1.160,0.183,0.488,30,18,28336
0.040,-0.055,0.993,1.160,0.244,0.488,30,18,28352
0.040,-0.053,0.992,1.221,0.366,0.549,30,18,28366
0.039,-0.055,0.993,1.465,0.244,0.488,30,18,28381
0.040,-0.053,0.992,1.038,0.305,0.488,30,18,28397
0.039,-0.054,0.994,1.221,0.061,0.610,30,18,28411
0.041,-0.053,0.991,1.465,0.305,0.671,30,18,28426
0.041,-0.056,0.993,1.099,0.183,0.305,30,18,28442
0.039,-0.053,0.992,0.244,0.000,-0.427,30,18,28456
0.041,-0.054,0.993,0.732,0.427,0.244,30,18,28471
0.041,-0.054,0.994,0.916,0.488,0.183,30,18,28487
0.041,-0.054,0.993,1.099,0.244,0.427,30,18,28501
0.041,-0.056,0.991,1.221,0.122,0.488,30,18,28516
0.040,-0.054,0.993,1.282,0.305,0.488,30,18,28532
0.042,-0.056,0.994,1.282,0.122,0.549,30,18,28546
0.040,-0.055,0.992,1.160,0.366,0.549,30,18,28576
0.039,-0.054,0.993,1.099,0.122,0.366,30,18,28591
0.039,-0.053,0.993,1.221,0.183,0.488,30,18,28606
0.040,-0.051,0.994,1.221,0.183,0.488,30,18,28622
0.040,-0.052,0.993,0.916,0.305,0.427,30,18,28636
0.042,-0.052,0.991,1.404,0.061,0.549,30,18,28651
0.043,-0.053,0.992,1.404,0.183,0.305,30,18,28667
0.042,-0.052,0.993,1.099,0.305,0.305,30,18,28681
0.044,-0.054,0.994,1.160,0.244,0.549,30,18,28696
0.041,-0.055,0.995,1.343,0.427,0.549,30,18,28712
0.039,-0.056,0.993,1.038,0.244,0.488,30,18,28726
0.040,-0.054,0.992,1.282,0.183,0.732,30,18,28741
0.038,-0.056,0.993,1.343,0.244,0.610,30,18,28756
0.040,-0.053,0.992,1.099,0.061,0.610,30,18,28802
0.041,-0.052,0.994,1.160,0.183,0.549,30,18,28816
0.042,-0.052,0.993,0.977,0.427,0.366,30,18,28831
0.042,-0.053,0.992,1.221,0.366,0.610,30,18,28847
0.042,-0.053,0.992,1.343,0.305,0.610,30,18,28861
0.041,-0.056,0.992,1.343,0.305,0.671,30,18,28876
0.040,-0.055,0.991,1.404,0.305,0.610,30,18,28891
0.040,-0.056,0.993,1.343,0.244,0.610,30,18,28906
0.037,-0.056,0.993,1.404,0.244,0.488,30,18,28921
0.038,-0.055,0.993,1.221,0.183,0.427,30,18,28936
0.039,-0.053,0.993,1.404,0.183,0.610,30,18,28951
0.039,-0.054,0.993,1.282,0.061,0.610,30,18,28966
0.040,-0.054,0.994,1.160,0.427,0.488,30,18,28982
0.041,-0.054,0.992,1.282,0.183,0.610,30,18,28996
0.042,-0.053,0.992,1.343,0.183,0.671,30,18,29011
0.042,-0.052,0.991,1.160,0.183,0.488,30,18,29027
0.039,-0.052,0.995,1.221,0.061,0.549,30,18,29041
0.039,-0.054,0.993,1.160,0.244,0.610,30,18,29056
0.039,-0.055,0.994,1.282,0.244,0.610,30,18,29071
0.039,-0.055,0.992,1.099,0.061,0.305,30,18,29086
0.040,-0.056,0.993,1.343,0.122,0.671,30,18,29101
0.040,-0.055,0.993,1.221,0.244,0.488,30,18,29117
0.041,-0.055,0.993,1.160,0.183,0.488,30,18,29131
0.041,-0.054,0.993,1.038,0.183,0.610,30,18,29146
0.042,-0.052,0.992,1.160,0.183,0.732,30,18,29161
0.041,-0.053,0.993,1.282,0.244,0.610,30,18,29176
0.041,-0.052,0.990,0.977,0.305,0.549,30,18,29191
0.042,-0.055,0.995,1.343,0.305,0.610,30,18,29207
0.041,-0.053,0.991,1.160,0.122,0.610,30,18,29221
0.039,-0.056,0.994,1.343,0.061,0.610,30,18,29236
0.040,-0.054,0.994,0.916,0.183,0.366,30,18,29251
0.040,-0.055,0.994,1.282,0.427,0.549,30,18,29266
0.040,-0.054,0.992,1.221,0.183,0.732,30,18,29281
0.039,-0.054,0.995,1.160,0.244,0.610,30,18,29297
0.041,-0.055,0.990,1.343,0.244,0.610,30,18,29311
0.041,-0.055,0.991,1.282,0.244,0.549,30,18,29326
0.042,-0.054,0.992,1.038,0.244,0.305,30,18,29342
0.041,-0.056,0.991,1.160,0.061,0.488,30,18,29356
0.042,-0.054,0.994,1.160,0.183,0.549,30,18,29371
0.040,-0.053,0.994,1.465,0.122,0.427,30,18,29387
0.038,-0.053,0.994,1.099,0.244,0.488,30,18,29401
0.040,-0.053,0.993,1.343,0.183,0.488,30,18,29416
0.041,-0.053,0.992,1.343,0.305,0.488,30,18,29432
0.040,-0.054,0.992,1.282,0.183,0.427,30,18,29446
0.039,-0.053,0.991,1.343,0.183,0.549,30,18,29461
0.042,-0.053,0.993,1.221,0.244,0.427,30,18,29477
0.041,-0.054,0.991,1.160,0.183,0.366,30,18,29491
0.042,-0.055,0.993,1.282,0.366,0.732,30,18,29522
0.041,-0.055,0.992,1.343,0.122,0.793,30,18,29536
0.040,-0.053,0.994,1.221,0.061,0.610,30,18,29551
0.040,-0.053,0.993,1.465,0.183,0.671,30,18,29566
0.040,-0.054,0.994,1.404,0.122,0.732,30,18,29581
0.039,-0.053,0.992,1.343,0.183,0.671,30,18,29612
0.039,-0.053,0.995,1.282,0.244,0.732,30,18,29626
0.039,-0.053,0.995,1.221,0.183,0.427,30,18,29641
0.040,-0.053,0.993,1.221,0.122,0.671,30,18,29656
0.040,-0.053,0.992,1.221,0.183,0.427,30,18,29671
0.041,-0.053,0.992,1.282,0.122,0.488,30,18,29686
0.042,-0.054,0.991,1.160,0.183,0.427,30,18,29702
0.040,-0.055,0.993,1.282,0.305,0.610,30,18,29716
0.040,-0.054,0.992,1.160,0.183,0.549,30,18,29731
0.040,-0.055,0.992,1.404,0.183,0.488,30,18,29747
0.039,-0.053,0.992,1.099,0.305,0.427,30,18,29761
0.041,-0.054,0.993,1.282,0.061,0.671,30,18,29776
0.041,-0.052,0.993,1.282,0.183,0.610,30,18,29792
0.041,-0.052,0.991,1.282,0.000,0.671,30,18,29806
0.040,-0.052,0.992,1.221,0.183,0.366,30,18,29821
0.040,-0.054,0.993,1.221,0.244,0.549,30,18,29837
0.040,-0.053,0.995,1.282,0.305,0.427,30,18,29851
0.040,-0.054,0.994,1.160,0.305,0.549,30,18,29866
0.040,-0.055,0.994,1.221,0.183,0.549,30,18,29881
0.039,-0.055,0.992,1.160,0.183,0.427,30,18,29896
0.040,-0.055,0.991,1.038,0.244,0.183,30,18,29911
0.040,-0.056,0.993,1.160,0.305,0.488,30,18,29926
0.041,-0.054,0.994,1.160,0.244,0.549,30,18,29941
0.042,-0.054,0.991,1.282,0.305,0.549,30,18,29956
0.041,-0.054,0.994,1.099,0.305,0.305,30,18,29971
0.041,-0.052,0.990,1.099,0.366,0.732,30,18,29986
0.040,-0.052,0.993,1.343,0.244,0.610,30,18,30001
0.039,-0.051,0.992,0.854,0.244,0.366,30,18,30017
0.042,-0.052,0.993,1.099,0.244,0.366,30,18,30031
0.040,-0.054,0.991,1.404,0.122,0.549,30,18,30046
0.040,-0.054,0.992,1.221,0.183,0.488,30,18,30062
0.039,-0.057,0.994,1.160,0.305,0.305,30,18,30076
0.040,-0.055,0.994,1.343,0.305,0.488,30,18,30091
0.040,-0.055,0.991,1.282,0.305,0.366,30,18,30107
0.040,-0.055,0.993,1.099,0.061,0.549,30,18,30121
0.042,-0.053,0.992,1.221,0.122,0.610,30,18,30151
0.041,-0.052,0.994,1.160,0.183,0.366,30,18,30166
0.040,-0.053,0.994,1.160,0.305,0.549,30,18,30181
0.040,-0.053,0.993,1.404,0.244,0.549,30,18,30197
0.040,-0.053,0.991,1.282,0.122,0.549,30,18,30211
0.039,-0.054,0.991,0.977,0.305,0.305,30,18,30226
0.039,-0.054,0.993,1.282,0.366,0.366,30,18,30242
0.039,-0.054,0.994,1.404,0.305,0.488,30,18,30256
0.040,-0.055,0.991,1.160,0.183,0.427,30,18,30271
0.041,-0.054,0.991,1.038,0.366,0.488,30,18,30287
0.041,-0.056,0.992,1.343,0.244,0.488,30,18,30301
0.041,-0.052,0.992,1.282,0.183,0.549,30,18,30316
0.041,-0.055,0.992,0.977,0.244,0.427,30,18,30332
0.041,-0.053,0.993,1.282,0.244,0.549,30,18,30346
0.039,-0.052,0.992,1.282,0.061,0.488,30,18,30361
0.039,-0.052,0.993,1.221,0.183,0.671,30,18,30376
0.039,-0.054,0.991,1.160,0.305,0.427,30,18,30391
0.038,-0.053,0.993,1.282,0.305,0.610,30,18,30406
0.039,-0.054,0.995,1.404,0.305,0.549,30,18,30421
0.041,-0.054,0.990,0.916,0.305,0.061,30,18,30436
0.041,-0.055,0.992,0.427,0.000,-0.488,30,18,30451
0.041,-0.055,0.993,0.183,0.000,-0.610,30,18,30466
0.042,-0.054,0.993,1.282,0.244,0.671,30,18,30496
0.041,-0.054,0.994,1.221,0.183,0.610,30,18,30512
0.040,-0.053,0.992,1.099,0.122,0.427,30,18,30526
0.038,-0.052,0.991,1.038,0.244,0.488,30,18,30541
0.040,-0.053,0.991,1.099,0.061,0.427,30,18,30557
0.038,-0.053,0.993,1.160,0.183,0.427,30,18,30571
0.038,-0.053,0.993,1.038,0.183,0.305,30,18,30586
0.039,-0.055,0.993,1.221,0.305,0.549,30,18,30602
0.041,-0.054,0.993,1.160,0.366,0.549,30,18,30616
0.041,-0.054,0.991,1.038,0.183,0.488,30,18,30631
0.041,-0.054,0.993,1.282,0.244,0.488,30,18,30647
0.040,-0.054,0.991,1.282,0.183,0.671,30,18,30661
0.042,-0.055,0.994,1.221,0.244,0.671,30,18,30676
0.040,-0.054,0.994,1.038,0.183,0.366,30,18,30691
0.042,-0.054,0.990,1.160,0.122,0.549,30,18,30706
0.039,-0.053,0.991,1.221,0.061,0.549,30,18,30721
0.040,-0.054,0.992,1.160,0.122,0.366,30,18,30737
0.039,-0.055,0.993,1.282,0.000,0.549,30,18,30751
0.037,-0.053,0.992,1.221,0.122,0.366,30,18,30766
0.038,-0.054,0.993,1.160,0.122,0.549,30,18,30781
0.040,-0.052,0.990,1.099,0.244,0.488,30,18,30796
0.040,-0.052,0.990,1.343,0.183,0.488,30,18,30811
0.040,-0.052,0.993,1.282,0.366,0.549,30,18,30826
0.039,-0.053,0.992,0.977,0.183,0.244,30,18,30841
0.041,-0.054,0.990,1.099,0.366,0.305,30,18,30856
0.042,-0.054,0.992,1.221,0.244,0.610,30,18,30871
0.041,-0.055,0.992,1.404,0.244,0.549,30,18,30886
0.041,-0.054,0.993,1.221,0.183,0.427,30,18,30901
0.039,-0.055,0.992,1.404,0.183,0.610,30,18,30916
0.040,-0.055,0.993,1.282,0.305,0.549,30,18,30931
0.039,-0.054,0.992,1.221,0.305,0.549,30,18,30946
0.039,-0.055,0.992,1.038,0.305,0.366,30,18,30962
0.040,-0.054,0.992,1.282,0.122,0.671,30,18,30976
0.040,-0.052,0.990,1.160,0.183,0.427,30,18,30991
0.041,-0.052,0.991,1.221,0.244,0.610,30,18,31006
0.040,-0.052,0.990,1.221,0.244,0.488,30,18,31021
0.040,-0.052,0.993,1.282,0.122,0.549,30,18,31036
0.040,-0.052,0.991,1.221,0.061,0.244,30,18,31051
0.039,-0.055,0.992,1.282,0.244,0.549,30,18,31066
0.041,-0.054,0.993,1.404,0.244,0.610,30,18,31081
0.040,-0.055,0.990,1.282,0.000,0.427,30,18,31096
0.040,-0.054,0.992,1.099,0.183,0.427,30,18,31111
0.040,-0.053,0.992,1.343,0.122,0.427,30,18,31126
0.039,-0.054,0.992,1.404,0.183,0.488,30,18,31141
0.040,-0.053,0.994,1.099,0.366,0.366,30,18,31156
0.041,-0.053,0.991,1.160,0.183,0.488,30,18,31171
0.040,-0.052,0.992,1.160,0.244,0.488,30,18,31186
0.041,-0.052,0.993,1.282,0.122,0.549,30,18,31201
