0.147,-1.005,-0.314,2.319,-7.507,61.218,30,31,246281
0.166,-1.020,-0.281,2.319,-7.507,61.218,30,31,246291
0.249,-1.052,-0.252,2.686,-9.338,69.580,30,31,246311
0.302,-1.091,-0.132,3.296,-13.428,76.172,30,31,246321
0.308,-1.135,-0.009,2.502,-15.930,80.933,30,31,246331
0.308,-1.135,-0.009,0.854,-14.893,84.351,30,31,246341
0.328,-1.237,-0.005,-1.953,-5.554,90.698,30,31,246351
0.218,-1.270,-0.109,-1.953,-5.554,90.698,30,31,246361
0.218,-1.270,-0.109,-2.808,-2.075,100.159,30,31,246371
0.150,-1.380,-0.222,-1.953,-5.066,106.689,30,31,246381
0.113,-1.467,-0.264,-1.953,-5.066,106.689,30,31,246391
0.113,-1.467,-0.264,3.052,-12.878,122.375,30,31,246401
0.067,-1.700,-0.202,3.052,-12.878,122.375,30,31,246411
-0.091,-1.975,-0.123,5.493,-21.362,140.076,30,31,246421
-0.091,-1.975,-0.123,6.104,-27.405,164.551,30,31,246431
-0.192,-2.159,-0.036,20.508,-51.208,163.391,30,31,246451
-0.341,-2.118,0.094,42.480,-95.032,167.114,30,31,246461
-0.365,-1.701,-0.063,55.664,-144.287,151.855,30,31,246471
-0.086,-1.107,-0.112,55.664,-144.287,151.855,30,31,246481
-0.086,-1.107,-0.112,60.181,-170.105,143.616,30,31,246491
1.002,-0.966,-0.025,60.181,-170.105,143.616,30,31,246501
1.301,-1.091,0.098,33.081,-169.678,159.119,30,31,246511
1.301,-1.091,0.098,9.460,-106.750,154.358,30,31,246521
0.752,-0.978,-0.152,17.944,-54.504,134.949,30,31,246531
0.254,-0.842,-0.257,17.944,-54.504,134.949,30,31,246541
0.254,-0.842,-0.257,66.345,1.709,81.848,30,31,246551
-0.089,-0.550,-0.295,88.562,-49.805,29.053,30,31,246561
-0.045,-0.500,-0.045,88.562,-49.805,29.053,30,31,246571
-0.045,-0.500,-0.045,67.993,-83.984,-1.038,30,31,246581
-0.094,-0.564,0.009,61.951,-84.167,-21.545,30,31,246591
0.041,-0.576,0.002,61.951,-84.167,-21.545,30,31,246601
0.041,-0.576,0.002,56.091,-100.891,-50.903,30,31,246611
0.130,-0.436,0.193,48.218,-102.478,-77.209,30,31,246621
0.164,-0.409,0.330,45.227,-89.478,-93.323,30,31,246641
0.199,-0.436,0.323,43.701,-51.880,-122.864,30,31,246651
0.209,-0.562,0.284,43.701,-51.880,-122.864,30,31,246661
0.209,-0.562,0.284,52.307,-12.268,-150.818,30,31,246671
0.209,-0.622,0.212,57.312,3.540,-180.115,30,31,246681
0.143,-0.641,0.172,59.387,18.066,-189.209,30,31,246701
