0.128,-1.014,-0.042,-3.784,3.357,-2.075,32,35,161123
0.130,-1.002,-0.047,-4.944,-0.610,-2.319,32,35,161163
0.107,-1.009,-0.057,-5.310,-0.427,-2.075,32,35,161173
0.092,-1.010,-0.062,-6.592,-2.258,-0.977,32,35,161183
0.061,-1.006,-0.066,-8.057,-4.639,1.831,32,35,161213
0.051,-1.017,-0.048,-8.850,-4.700,3.418,32,35,161223
0.074,-1.013,-0.052,-11.658,-0.427,7.019,32,35,161233
0.063,-1.024,-0.047,-11.536,3.174,10.132,32,35,161253
0.080,-1.031,-0.039,-12.634,3.418,11.841,32,35,161263
0.084,-1.019,-0.017,-13.306,3.235,14.954,32,35,161273
0.094,-1.023,-0.019,-13.855,3.296,17.761,32,35,161293
0.108,-1.044,0.011,-16.846,3.296,26.062,32,35,161343
0.116,-1.053,0.011,-17.456,2.563,29.419,32,35,161353
0.104,-1.071,0.014,-18.066,-2.808,34.424,32,35,161383
0.106,-1.059,0.009,-18.372,-5.981,37.415,32,35,161393
0.104,-1.074,-0.005,-17.944,-10.132,39.062,32,35,161403
0.108,-1.107,-0.008,-17.517,-15.747,41.809,32,35,161423
0.094,-1.161,0.053,-18.677,-17.517,42.664,32,35,161433
0.146,-1.160,0.061,-19.958,-15.015,45.105,32,35,161443
0.185,-1.129,0.096,-23.438,-4.517,51.086,32,35,161473
0.203,-1.119,0.083,-25.635,2.136,53.467,32,35,161483
0.211,-1.102,0.075,-26.489,10.132,55.481,32,35,161493
0.182,-1.068,0.062,-27.893,16.418,55.054,32,35,161513
0.098,-1.043,0.017,-27.405,24.658,50.476,32,35,161523
0.129,-1.020,0.009,-28.992,48.340,40.894,32,35,161533
0.025,-0.981,-0.021,-27.771,78.491,30.945,32,35,161563
-0.030,-0.981,-0.055,-26.367,90.698,25.818,32,35,161573
-0.091,-0.960,-0.115,-22.034,104.675,14.221,32,35,161583
-0.092,-0.947,-0.136,-15.747,96.619,2.258,32,35,161603
-0.090,-0.988,-0.169,-11.780,52.490,-24.780,32,35,161643
